subj,trial,condition,target,respond,error,trial_duration,fb,fb_true,fb_offset,fb_time,conf
Test_08,92,1,150.14030000000002,-163.4778,-13.337499999999977,35.96666666666667,-5.4547,43.21889,-48.673590000000004,11.216666666666667,0.9869937
Test_08,93,3,-78.37469999999999,148.86714999999998,-70.49244999999999,33.025,0.0,231.4538,-231.4538,9.458333333333334,0.8809951
Test_08,94,1,325.62728,-294.30016,31.32711999999998,54.0,-8.184688,108.4912,-116.675888,24.166666666666668,0.2550032
Test_08,95,1,-98.01020999999997,166.58510000000007,-68.5748900000001,60.30833333333333,-30.65605,333.1319,-363.78794999999997,9.841666666666667,0.6369982
Test_08,96,1,-210.9848999999999,256.25079999999997,-45.26590000000007,52.38333333333333,11.0331,204.4049,-193.3718,15.141666666666667,0.7449968
Test_08,97,3,204.24821,-245.23494000000002,-40.98673000000002,56.833333333333336,0.0,68.59988,-68.59988,17.925,0.6499981
Test_08,98,1,342.4637,-313.29920000000004,29.164499999999975,51.18333333333333,26.24199,238.7661,-212.52411,21.575,0.574999
Test_08,99,1,263.9966,-304.66049999999996,-40.663899999999956,53.391666666666666,-8.11791,109.5168,-117.63471,22.416666666666668,0.884995
Test_08,100,1,-140.3501,235.36649000000003,-95.01639000000003,44.2,-9.655994,269.6097,-279.265694,11.95,0.7079973
Test_08,101,1,145.52645,-186.85201500000002,-41.32556500000001,38.208333333333336,33.02066,315.2898,-282.26914,15.708333333333334,0.5869989
Test_08,102,2,-5.490154,45.899459999999976,-40.40930599999997,20.883333333333333,-9.443061,100.0636,-109.506661,2.7083333333333335,0.8579954
Test_08,103,2,27.521860000000004,-72.80887000000004,-45.28701000000004,30.691666666666666,18.14779,310.7831,-292.63531,5.108333333333333,0.9209946
Test_08,104,2,86.406513,-101.34239000000001,-14.935877000000005,34.80833333333333,25.50787,101.7619,-76.25403,12.316666666666666,0.7259971
Test_08,105,1,57.59705,-102.33932999999999,-44.74227999999999,41.175,50.40333,283.1498,-232.74647000000004,6.691666666666666,0.6769977
Test_08,106,1,311.8194000000001,-332.09979999999996,-20.280399999999872,57.11666666666667,57.12799,75.17288,-18.04489000000001,23.708333333333332,0.5869989
Test_08,107,1,-43.21460000000002,82.061552,-38.84695199999999,27.783333333333335,5.528807,254.4217,-248.892893,5.666666666666667,0.9749939
Test_08,108,1,318.65754499999997,-358.76449999999994,-40.10695499999997,57.15,-34.47181,98.9615,-133.43331,19.15,0.7429969
Test_08,109,1,-42.70009999999996,79.0917,-36.39160000000004,32.125,-0.8764166,248.8354,-249.7118166,4.833333333333333,0.9849938
Test_08,110,2,143.35560000000004,-244.97110000000004,-101.6155,54.28333333333333,22.30745,81.36594,-59.05848999999999,11.858333333333333,0.8379956
Test_08,111,1,192.57659,-271.35580000000004,-78.77921000000003,51.4,1.125708,173.0036,-171.877892,13.791666666666666,0.8839951
Test_08,112,1,259.4321,-283.56980000000004,-24.137700000000052,44.733333333333334,21.20912,306.9852,-285.77608000000004,15.116666666666667,0.6479981
Test_08,113,2,233.17609,-264.7314,-31.55531000000002,53.541666666666664,21.92119,129.4355,-107.51431,15.1,0.5730055
Test_08,114,2,-148.85784,220.85293,-71.99508999999998,45.45,-17.53743,297.9577,-315.49513,13.25,0.3980013
Test_08,115,2,-259.44095899999996,359.35869999999994,-99.91774099999998,55.775,27.21245,171.6385,-144.42605,15.825,0.08300288
Test_08,116,1,63.07858999999996,-134.31244000000007,-71.2338500000001,36.2,34.09899,78.28997,-44.190979999999996,8.066666666666666,0.8659953
Test_08,117,3,-259.70778,382.37833,-122.67054999999999,56.95,0.0,208.9048,-208.9048,16.95,0.5
Test_08,118,3,-115.34842000000006,177.89522999999997,-62.54680999999991,37.30833333333333,0.0,139.4133,-139.4133,10.008333333333333,0.6359982
Test_08,119,2,-160.53848999999997,224.55449999999996,-64.01601,36.425,23.04012,355.1716,-332.13148,11.308333333333334,0.7219971
Test_08,120,1,336.1449,-339.58050000000003,-3.435600000000022,53.358333333333334,8.968978,225.2941,-216.325122,20.416666666666668,0.5299996
Test_08,121,1,102.93079999999998,-155.2949,-52.364100000000036,49.34166666666667,10.45119,132.7734,-122.32221000000001,7.791666666666667,0.7519968
Test_08,122,1,16.93180000000001,-64.1149,-47.183099999999996,39.016666666666666,-24.00068,275.6423,-299.64297999999997,3.816666666666667,0.6369982
